alpha3,population
AFG,39.07
ALB,2.87
DZA,44.04
AND,0.08
AGO,33.45
ATG,0.09
ARG,45.19
ARM,2.89
AUS,25.74
AUT,8.92
AZE,10.18
BHS,0.4
BHR,1.48
BGD,166.3
BRB,0.28
BLR,9.35
BEL,11.54
BLZ,0.39
BEN,13.07
BTN,0.77
BOL,11.82
BIH,3.3
BWA,2.37
BRA,208.66
BRN,0.45
BGR,6.93
BFA,21.48
BDI,12.62
KHM,16.73
CMR,26.21
CAN,38.17
CPV,0.51
CAF,5.03
TCD,17.22
CHL,19.37
CHN,1426.11
COL,50.63
COM,0.8
COD,95.99
COG,5.75
CRI,5.03
CIV,28.92
HRV,3.95
CUB,11.18
CYP,1.3
CZE,10.55
DNK,5.83
DJI,1.11
DMA,0.07
DOM,11.01
ECU,17.55
EGY,109.32
SLV,6.23
GNQ,1.72
ERI,3.29
EST,1.33
ETH,118.92
FJI,0.91
FIN,5.53
FRA,65.91
GAB,2.32
GMB,2.52
GEO,3.8
DEU,83.63
GHA,31.89
GRC,10.7
GRD,0.12
GTM,17.36
GIN,13.37
GNB,2.01
GUY,0.81
HTI,11.24
HOS,
HND,10.12
HKG,7.49
HUN,9.75
ISL,0.37
IND,1402.62
IDN,274.81
IRN,87.72
IRQ,42.12
IRL,4.98
ISR,8.8
ITA,59.91
JAM,2.83
JPN,126.3
JOR,10.87
KAZ,19.48
KEN,52.22
KIR,0.13
PRK,26.14
KOR,51.86
KWT,4.4
KGZ,6.66
LAO,7.35
LVA,1.9
LBN,5.7
LSO,2.24
LBR,5.15
LBY,7.05
LIE,0.04
LTU,2.8
LUX,0.63
MKD,1.87
MDG,28.95
MWI,19.53
MYS,33.89
MDV,0.5
MLI,21.71
MLT,0.52
MHL,0.04
MRT,4.6
MUS,1.28
MEX,126.8
FSM,0.11
MDA,3.07
MCO,0.04
MNG,3.29
MNE,0.61
MAR,36.58
MOZ,30.78
MMR,53.02
NAM,2.73
NRU,0.01
NPL,28.97
NLD,17.64
NZL,5.07
NIC,6.57
NER,23.72
NGA,214.0
NOR,5.38
OMN,4.52
PAK,235.0
PLW,0.02
PAN,4.29
PNG,9.82
PRY,6.6
PER,32.84
PHL,112.08
POL,38.17
PRT,10.37
QAT,2.8
ROU,19.39
RUS,146.37
RWA,13.07
KNA,0.05
LCA,0.18
VCT,0.1
WSM,0.21
SMR,0.03
STP,0.22
SAU,30.99
SEN,16.79
SRB,6.91
SYC,0.12
SLE,7.91
SGP,5.62
SVK,5.46
SVN,2.1
SLB,0.74
SOM,16.65
ZAF,60.56
SSD,10.7
ESP,47.68
LKA,22.56
SDN,46.79
SUR,0.61
SWZ,1.19
SWE,10.35
CHE,8.64
SYR,21.05
TWN,23.66
TJK,9.75
TZA,60.97
THA,71.64
TLS,1.33
TGO,8.67
TON,0.11
TTO,1.48
TUN,11.97
TUR,86.09
TKM,6.95
TUV,0.01
UGA,44.46
UKR,44.68
ARE,9.45
GBR,67.35
USA,339.44
URY,3.4
UZB,33.59
VUT,0.3
VEN,28.44
VNM,98.08
PSE,5.07
YEM,36.13
ZMB,19.06
ZWE,15.53
