brand,style,gender,height_front,width_front,height_back,width_back
3fe5003e,skinny,women,14.5,16.5,15.0,13.7
3fe5003e,straight,women,14.5,16.0,15.5,13.0
790c6eab,skinny,women,13.0,14.5,15.5,13.5
790c6eab,straight,women,13.0,14.5,14.5,13.0
26aaf627,skinny,women,13.0,14.0,14.0,14.2
26aaf627,straight,women,15.5,16.5,14.5,12.5
ba56feb3,skinny,women,12.0,14.5,16.5,13.0
ba56feb3,straight,women,14.0,15.5,15.0,14.0
7398d4c6,skinny,women,13.0,13.5,16.0,14.5
7398d4c6,straight,women,15.0,15.5,14.5,13.0
0d014017,skinny,women,12.5,15.0,14.5,12.0
0d014017,straight,women,12.2,17.0,15.5,12.5
7b34fdbd,skinny,women,13.7,18.5,14.5,14.0
7b34fdbd,straight,women,13.5,17.0,15.0,14.5
9cc5821d,skinny,women,13.0,15.0,16.5,12.5
9cc5821d,straight,women,14.0,15.0,15.5,12.5
59133a58,skinny,women,14.0,15.0,13.0,11.5
59133a58,straight,women,14.5,14.0,14.7,13.0
70b9ccb6,skinny,women,11.5,14.5,14.7,12.5
70b9ccb6,straight,women,12.5,14.0,14.5,13.5
1428e336,skinny,women,12.5,16.0,14.0,13.0
1428e336,straight,women,15.0,16.7,15.5,15.0
b144fa06,skinny,women,15.7,16.0,16.5,14.0
b144fa06,straight,women,15.5,15.2,15.5,15.0
dfc9a4ab,straight,women,14.5,14.0,16.0,13.0
dfc9a4ab,skinny,women,19.0,14.5,15.0,12.5
ce93e0bd,straight,women,12.0,14.5,15.0,13.5
ce93e0bd,skinny,women,14.5,14.0,16.5,13.0
2abe57bc,straight,women,14.0,15.5,15.0,14.5
2abe57bc,skinny,women,11.5,15.0,14.5,13.5
466b98ca,straight,women,14.0,12.0,15.0,13.5
466b98ca,skinny,women,13.0,12.5,15.5,13.0
57ed7595,skinny,women,19.0,14.0,15.0,12.5
57ed7595,straight,women,16.0,13.5,15.0,13.0
33147c75,skinny,women,21.5,15.5,16.0,12.5
33147c75,straight,women,18.0,18.5,16.0,14.0
afb94ef0,skinny,women,14.0,17.0,15.0,14.5
afb94ef0,straight,women,15.0,15.0,16.0,13.2
3fe5003e,skinny,men,26.0,17.0,17.0,14.0
3fe5003e,straight,men,24.5,18.0,16.0,15.2
790c6eab,skinny,men,23.0,15.5,16.0,15.0
790c6eab,straight,men,24.0,17.5,17.0,15.0
70b9ccb6,skinny,men,22.5,14.0,17.0,14.5
70b9ccb6,straight,men,25.5,17.5,16.0,14.0
ba56feb3,skinny,men,22.0,15.0,16.5,14.2
ba56feb3,straight,men,21.5,18.0,17.0,15.5
0d014017,skinny,men,25.5,14.5,16.5,13.0
0d014017,straight,men,26.0,16.5,15.0,13.2
26aaf627,skinny,men,22.5,15.5,14.5,13.0
26aaf627,straight,men,21.5,16.0,15.0,14.0
b144fa06,skinny,men,20.5,15.5,16.0,14.0
b144fa06,straight,men,21.5,16.0,16.2,13.5
7398d4c6,skinny,men,21.0,16.7,15.2,14.5
7398d4c6,straight,men,22.5,17.0,16.2,13.0
9cc5821d,skinny,men,21.0,16.5,15.5,14.5
9cc5821d,straight,men,21.5,16.5,16.0,14.0
59133a58,skinny,men,26.2,15.2,15.0,13.0
59133a58,straight,men,21.0,16.5,16.0,13.5
2abe57bc,skinny,men,25.0,17.0,15.0,12.5
2abe57bc,straight,men,22.5,14.5,15.5,13.5
ce93e0bd,skinny,men,24.5,15.5,15.5,13.0
ce93e0bd,straight,men,24.5,17.0,14.0,12.0
466b98ca,straight,men,23.0,17.5,15.5,14.0
466b98ca,skinny,men,22.0,17.5,15.5,13.5
dfc9a4ab,skinny,men,20.0,14.5,16.5,13.5
dfc9a4ab,straight,men,21.5,16.5,16.0,14.5
57ed7595,skinny,men,21.0,14.5,15.0,11.5
57ed7595,straight,men,22.0,16.5,17.0,13.5
33147c75,straight,men,22.5,16.0,16.0,13.0
33147c75,skinny,men,22.0,17.0,17.5,14.0
1428e336,skinny,men,25.0,17.0,15.0,12.5
1428e336,straight,men,22.5,18.2,17.0,13.0
7b34fdbd,skinny,men,25.5,16.5,16.5,14.0
7b34fdbd,straight,men,24.5,16.2,17.5,15.0
afb94ef0,skinny,men,27.5,17.5,17.0,13.0
afb94ef0,straight,men,28.0,13.0,16.7,14.5
49d2b8a1,straight,women,15.0,16.0,14.5,13.5
49d2b8a1,skinny,women,14.5,16.0,14.0,14.0
49d2b8a1,straight,men,21.0,18.5,16.0,13.0
49d2b8a1,skinny,men,21.0,19.0,16.0,14.0
