grid,x,y,munsell_code,tile_hex,english_color,spanish_color,tsimane_color,spanish,tsimane
B1,1,7,5R8/6,#fbb6b0,pink,pink,yellow,rosada (pink),chamus (yellow)
D1,1,5,5R6/12,#eb6a68,pink,pink,red,rosada (pink),jainas (red)
F1,1,3,5R4/14,#bb1933,red,red,red,rojo (red),jainas (red)
H1,1,1,5R2/8,#610d25,red,red,brown,rojo (red),cafedyeisi (brown)
A2,2,8,10R9/2,#f2ded8,pink,white,white,blanco (white),jaibas (white)
C2,2,6,10R7/10,#fb916b,orange,orange,yellow,naranja (orange),chamus (yellow)
E2,2,4,10R5/16,#db4300,orange,orange,red,naranja (orange),jainas (red)
G2,2,2,10R3/10,#872110,red,red,brown,rojo (red),cafedyeisi (brown)
B3,3,7,5YR8/8,#ffb779,orange,pink,yellow,rosada (pink),chamus (yellow)
D3,3,5,5YR6/14,#e07800,orange,orange,yellow,naranja (orange),chamus (yellow)
F3,3,3,5YR4/8,#904f1b,brown,brown,brown,cafe (brown),cafedyeisi (brown)
H3,3,1,5YR2/4,#492816,brown,brown,brown,cafe (brown),cafedyeisi (brown)
A4,4,8,10YR9/4,#fedeae,yellow,white,white,blanco (white),jaibas (white)
C4,4,6,10YR7/14,#e99f00,yellow,orange,yellow,naranja (orange),chamus (yellow)
E4,4,4,10YR5/10,#a56e00,brown,brown,brown,cafe (brown),cafedyeisi (brown)
G4,4,2,10YR3/6,#634008,brown,brown,brown,cafe (brown),cafedyeisi (brown)
B5,5,7,5Y8/14,#ecc500,yellow,yellow,yellow,amarillo (yellow),chamus (yellow)
D5,5,5,5Y6/10,#b09000,yellow,yellow,yellow,amarillo (yellow),chamus (yellow)
F5,5,3,5Y4/6,#725e15,brown,green,brown,verde (green),cafedyeisi (brown)
H5,5,1,5Y2/2,#37301f,black,black,black,negro (black),tsincus (black)
A6,6,8,10Y9/6,#ebe78a,yellow,yellow,yellow,amarillo (yellow),chamus (yellow)
C6,6,6,10Y7/12,#b8b200,green,yellow,yellow,amarillo (yellow),chamus (yellow)
E6,6,4,10Y5/8,#817d00,green,green,green,verde (green),shandyes (green)
G6,6,2,10Y3/4,#4b491d,green,green,black,verde (green),tsincus (black)
B7,7,7,5GY8/10,#b5d544,green,green,green,verde (green),shandyes (green)
D7,7,5,5GY6/10,#7e9f00,green,green,green,verde (green),shandyes (green)
F7,7,3,5GY4/8,#4e6900,green,green,green,verde (green),shandyes (green)
H7,7,1,5GY2/2,#2d3225,black,black,black,negro (black),tsincus (black)
A8,8,8,10GY9/4,#c5eebd,green,green,green,verde (green),shandyes (green)
C8,8,6,10GY7/10,#66c15f,green,green,green,verde (green),shandyes (green)
E8,8,4,10GY5/12,#008e18,green,green,green,verde (green),shandyes (green)
G8,8,2,10GY3/6,#1f5126,green,green,green,verde (green),shandyes (green)
B9,9,7,5G8/6,#86d8af,green,green,green,verde (green),shandyes (green)
D9,9,5,5G6/10,#00a975,green,green,green,verde (green),shandyes (green)
F9,9,3,5G4/10,#007347,green,green,green,verde (green),shandyes (green)
H9,9,1,5G2/6,#003a25,green,green,green,verde (green),shandyes (green)
A10,10,8,10G9/2,#c9eadd,green,green,white,verde (green),jaibas (white)
C10,10,6,10G7/8,#40c1a2,green,green,green,verde (green),shandyes (green)
E10,10,4,10G5/10,#008e70,green,green,green,verde (green),shandyes (green)
G10,10,2,10G3/8,#005543,green,green,green,verde (green),shandyes (green)
B11,11,7,5BG8/4,#96d3c9,green,lightblue,blue,celeste (light blue),yushnus (blue)
D11,11,5,5BG6/10,#00a99f,green,green,green,verde (green),shandyes (green)
F11,11,3,5BG4/8,#00706c,green,green,green,verde (green),shandyes (green)
H11,11,1,5BG2/6,#003a3a,green,green,green,verde (green),shandyes (green)
A12,12,8,10BG9/2,#cae8e8,blue,lightblue,white,celeste (light blue),jaibas (white)
C12,12,6,10BG7/8,#1fbfc7,blue,lightblue,green,celeste (light blue),shandyes (green)
E12,12,4,10BG5/10,#008d9e,blue,lightblue,blue,celeste (light blue),yushnus (blue)
G12,12,2,10BG3/8,#005465,blue,green,green,verde (green),shandyes (green)
B13,13,7,5B8/4,#9cd0dc,blue,lightblue,blue,celeste (light blue),yushnus (blue)
D13,13,5,5B6/10,#00a4ca,blue,lightblue,blue,celeste (light blue),yushnus (blue)
F13,13,3,5B4/10,#006e98,blue,lightblue,blue,celeste (light blue),yushnus (blue)
H13,13,1,5B2/6,#003850,blue,blue,blue,azul (blue),yushnus (blue)
A14,14,8,10B9/2,#d5e5ed,blue,white,white,blanco (white),jaibas (white)
C14,14,6,10B7/8,#62b6e1,blue,lightblue,blue,celeste (light blue),yushnus (blue)
E14,14,4,10B5/12,#0085c7,blue,lightblue,blue,celeste (light blue),yushnus (blue)
G14,14,2,10B3/10,#004f87,blue,blue,blue,azul (blue),yushnus (blue)
B15,15,7,5PB8/6,#abcaf3,blue,lightblue,yellow,celeste (light blue),chamus (yellow)
D15,15,5,5PB6/10,#5f95d8,blue,lightblue,blue,celeste (light blue),yushnus (blue)
F15,15,3,5PB4/12,#0061af,blue,blue,blue,azul (blue),yushnus (blue)
H15,15,1,5PB2/8,#003065,blue,blue,blue,azul (blue),yushnus (blue)
A16,16,8,10PB9/2,#e2e1ec,white,white,white,blanco (white),jaibas (white)
C16,16,6,10PB7/8,#aba6e2,purple,purple,purple,morado (purple),itsidyeisi (purple)
E16,16,4,10PB5/10,#7b6fb8,purple,purple,purple,morado (purple),itsidyeisi (purple)
G16,16,2,10PB3/10,#4d3985,purple,purple,purple,morado (purple),itsidyeisi (purple)
B17,17,7,5P8/4,#d0c2dc,purple,purple,white,morado (purple),jaibas (white)
D17,17,5,5P6/8,#a886bd,purple,purple,purple,morado (purple),itsidyeisi (purple)
F17,17,3,5P4/12,#81469a,purple,purple,purple,morado (purple),itsidyeisi (purple)
H17,17,1,5P2/8,#471e55,purple,purple,purple,morado (purple),itsidyeisi (purple)
A18,18,8,10P9/2,#eadfe6,white,white,white,blanco (white),jaibas (white)
C18,18,6,10P7/8,#d79ac7,pink,purple,purple,morado (purple),itsidyeisi (purple)
E18,18,4,10P5/12,#b257a1,purple,purple,purple,morado (purple),itsidyeisi (purple)
G18,18,2,10P3/10,#74266c,purple,purple,purple,morado (purple),itsidyeisi (purple)
B19,19,7,5RP8/6,#f2b7ca,pink,pink,yellow,rosada (pink),chamus (yellow)
D19,19,5,5RP6/12,#df6c9c,pink,pink,red,rosada (pink),jainas (red)
F19,19,3,5RP4/12,#a6316e,pink,pink,red,rosada (pink),jainas (red)
H19,19,1,5RP2/8,#591340,purple,purple,purple,morado (purple),itsidyeisi (purple)
A20,20,8,10RP9/2,#efdfe0,pink,white,white,blanco (white),jaibas (white)
C20,20,6,10RP7/8,#ea95a0,pink,pink,red,rosada (pink),jainas (red)
E20,20,4,10RP5/14,#d73f6a,pink,pink,red,rosada (pink),jainas (red)
G20,20,2,10RP3/10,#891641,purple,red,red,rojo (red),jainas (red)
