country,currency,name,gender,occupation,value,first_appearance,death,first_death_diff,currency_code
Argentina,Argentine Peso,Eva Perón,F,Activist,100,2012,1952,60,ARS
Argentina,Argentine Peso,Julio Argentino Roca,M,Head of Gov't,100,1988,1914,74,ARS
Argentina,Argentine Peso,Domingo Faustino Sarmiento,M,Head of Gov't,50,1999,1888,111,ARS
Argentina,Argentine Peso,Juan Manuel de Rosas,M,Politician,20,1992,1877,115,ARS
Argentina,Argentine Peso,Manuel Belgrano,M,Founder,10,1970,1820,150,ARS
Australia,Australian Dollar,David Unaipon,M,STEM,50,1995,1967,28,AUD
Australia,Australian Dollar,Mary Gilmore,F,Writer,10,1993,1962,31,AUD
Australia,Australian Dollar,Reverend John Flynn,M,Religious figure,20,1994,1951,43,AUD
Australia,Australian Dollar,Banjo Paterson,M,Writer,10,1993,1941,52,AUD
Australia,Australian Dollar,Edith Cowan,F,Politician,50,1995,1932,63,AUD
Australia,Australian Dollar,Nellie Melba,F,Musician,100,1996,1931,65,AUD
Australia,Australian Dollar,Sir John Monash,M,Military,100,1996,1931,65,AUD
Australia,Australian Dollar,Mary Reibey,F,Other,20,1994,1855,139,AUD
Australia,Australian Dollar,Queen Elizabeth II,F,Monarch,5,1961,,,AUD
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,20,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,1000,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,500,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,200,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,100,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,50,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,10,1972,1975,-3,BDT
Bangladesh,Bangladeshi Taka,Bangabandhu Sheikh Mujibur Rahman,M,Founder,5,1972,1975,-3,BDT
