date,eclipse_type,magnitude,duration,region
05-18-1901,Total,1.068,06m29s,"s Asia, Australia, e Africa [Total: Indonesia, N Guinea, Madagascar]"
11-11-1901,Annular,0.922,11m01s,"ne Africa, Asia, w Europe [Annular: ne Africa, India, Sri Lanka, se Asia]"
04-08-1902,Partial,0.064,,northern Canada
05-07-1902,Partial,0.859,,"New Zealand, South Pacific"
10-31-1902,Partial,0.696,,"c Asia, e Europe"
03-29-1903,Annular,0.977,01m53s,"e Asia, nw N America [Annular: China, Mongolia, Russia, Canada]"
09-21-1903,Total,1.032,02m12s,"se Africa, Antarctica, s Australia, N.Z. [Total: Antarctica, s Indian Ocean]"
03-17-1904,Annular,0.937,08m07s,"e Africa, s Asia[[Annular: Tanzania, Mozambique, Cambodia, Laos, Vietnam, Myanmar]"
09-09-1904,Total,1.071,06m20s,"Atlantic, nw S America [Total: central Atlantic, Chile]"
03-06-1905,Annular,0.927,07m58s,"Australia, Antarctica, s Indies [Annular: Australia]"
08-30-1905,Total,1.048,03m46s,"ne N America, n Africa, Europe, w Asia [Total: Canada, Spain, Algeria, Tunisia, Libya, Egypt, Saudi Arabia]"
02-23-1906,Partial,0.539,,"Antarctica, Australia"
07-21-1906,Partial,0.336,,s S America
08-20-1906,Partial,0.315,,"n Asia, n N America"
01-14-1907,Total,1.028,02m25s,"c Asia, ne Africa [Total: Russia, central Asia]"
07-10-1907,Annular,0.946,07m23s,"S America, C America, Antarctica [Annular: Chile, Bolivia, Brazil]"
01-03-1908,Total,1.044,04m14s,"ne Australia, w N America, nw S America [Total: Atlantic, Costa Rica]"
06-28-1908,Annular,0.965,04m00s,"America's, w Africa, w Europe [Annular: Mexico, U.S., Mauritania, Senegal, Mali, Burkina Faso]"
12-23-1908,Hybrid,1.002,00m12s,"S America, Antarctica, s Africa [Hybrid: Chile, Argentina, Uruguay, s Atlantic]"
06-17-1909,Hybrid,1.006,00m24s,"ne Asia, n N America [Hybrid: Russia, Canada, Greenland]"
12-12-1909,Partial,0.542,,"Antarctica, New Zealand"
05-09-1910,Total,1.06,04m15s,"Antarctica, Australia, s Indies [Total: Antarctica, Tasmania]"
11-02-1910,Partial,0.852,,"Northeast Asia, Northern Pacific"
04-28-1911,Total,1.056,04m57s,"e Australia, N.Z., w N America [Total: central Pacific]"
10-22-1911,Annular,0.965,03m47s,"Asia, Indies, Australia [Annular: Russia, China, Philippines, Indonesia, New Guinea]"
04-17-1912,Hybrid,1.0,00m02s,"e America's, nw Africa, Europe, Middle East [Hybrid: Guyana, Suriname, w Europe, Russia]"
10-10-1912,Total,1.023,01m55s,"S America, C America, Antarctica, s Africa [Total: Colombia, Brazil, Ecuador, s Atlantic]"
04-06-1913,Partial,0.424,,"Northwest U.S., Western Canada, Russia"
08-31-1913,Partial,0.151,,"Northeast Canada, Greenland"
09-30-1913,Partial,0.825,,"Antarctica, Madgascar, se Africa"
02-25-1914,Annular,0.925,05m35s,"Antarctica, New Zealand [Annular: Antarctica]"
08-21-1914,Total,1.033,02m14s,"n Africa, Europe, w Asia, ne N America [Total: Canada, Greenland, Norway, Sweden, Russia, Turkey, Iraq, Iran, Pakistan, India]"
02-14-1915,Annular,0.979,02m04s,"Indies, Australia, Antarctica [Annular: Australia, Indonesia, New Guinea]"
08-10-1915,Annular,0.985,01m33s,"Northeast Asia, central Pacific, New Guinea [Annular: central Pacific]"
02-03-1916,Total,1.028,02m36s,"N America, n S America, nw Africa [Total: Colombia, Venezuela, central Atlantic]"
07-30-1916,Annular,0.945,06m24s,"Indies, Australia, N.Z., Antarctica [Annular: Australia, Tasmania]"
12-24-1916,Partial,0.011,,Antarctica
01-23-1917,Partial,0.725,,"ne Africa, Middle East, w Asia, e Europe"
06-19-1917,Partial,0.473,,"n N America, n Asia, n Europe"
07-19-1917,Partial,0.086,,Antarctica
12-14-1917,Annular,0.979,01m17s,"Antarctica, se S America, w Australia [Annular: Antarctica]"
06-08-1918,Total,1.029,02m23s,"ne Asia, N America, n Europe, C America [Total: central Pacific, U.S.]"
12-03-1918,Annular,0.938,07m06s,"S America, Antarctica, w Africa, C America [Annular: Chile, Argentina, Uruguay, Nambia, Angola]"
05-29-1919,Total,1.072,06m51s,"S America, C America, Africa [Total: Chile, Peru, Bolivia, Brazil, central Africa]"
