PARTICIPANT_ID,AGE,HAS_TAKEN_TYPING_COURSE,COUNTRY,LAYOUT,NATIVE_LANGUAGE,FINGERS,KEYBOARD_TYPE,ERROR_RATE,AVG_WPM_15,ROR
3,30,0,US,qwerty,en,1-2,full,0.511945392491468,61.9483,0.2288
5,27,0,MY,qwerty,en,7-8,laptop,0.871080139372822,72.8871,0.3675
7,13,0,AU,qwerty,en,7-8,laptop,6.68563300142247,24.1809,0.0667
23,21,0,IN,qwerty,en,3-4,full,2.13049267643142,24.7112,0.0413
24,21,0,PH,qwerty,tl,7-8,laptop,1.89328743545611,45.3364,0.2678
25,19,0,IN,qwerty,en,7-8,laptop,0.747384155455904,54.6831,0.4434
30,20,1,AF,qwerty,en,7-8,laptop,3.12771503040834,9.9978,0.0049
31,26,0,PK,qwerty,ur,5-6,laptop,0.297176820208024,62.7715,0.0811
32,22,0,PH,qwerty,en,3-4,full,2.19435736677116,28.9376,0.1003
33,36,0,HK,qwerty,zh,7-8,laptop,0.0,65.6532,0.1506
35,34,0,PH,qwerty,en,5-6,laptop,1.66793025018954,39.2606,0.0867
36,27,0,US,qwerty,es,5-6,laptop,2.29885057471264,29.8193,0.057
38,19,0,US,qwerty,en,7-8,laptop,2.3876404494382,86.1084,0.6751
39,25,0,US,qwerty,en,1-2,laptop,3.18379160636758,28.1308,0.1019
40,11,1,PH,qwerty,tl,9-10,full,0.0,42.5532,0.1741
45,18,0,US,qwerty,en,9-10,full,1.18343195266272,66.9621,0.3979
49,13,0,AU,qwerty,en,7-8,laptop,1.28824476650564,27.4368,0.301
53,19,0,TH,qwerty,en,1-2,laptop,1.62748643761302,36.7367,0.0686
58,30,0,HK,qwerty,zh,7-8,full,0.561797752808989,36.942,0.0798
61,27,0,US,qwerty,en,9-10,full,0.759878419452888,28.0744,0.0889
70,18,1,US,qwerty,en,3-4,laptop,3.07692307692308,53.0141,0.0712
74,15,0,PK,qwerty,en,9-10,full,0.162337662337662,44.46,0.1793
81,19,0,IN,qwerty,hi,3-4,full,2.13740458015267,26.8966,0.1613
83,25,1,US,qwerty,en,3-4,laptop,1.30597014925373,14.6155,0.0446
87,14,1,MY,qwerty,zh,9-10,full,6.08108108108108,57.487,0.1555
88,21,0,MY,qwerty,en,9-10,laptop,0.421940928270042,38.6345,0.2632
96,20,0,US,qwerty,en,7-8,on-screen,1.64835164835165,35.7546,0.0515
102,25,0,PK,qwerty,fa,7-8,laptop,0.977198697068404,31.6979,0.158
103,20,0,US,qwerty,en,1-2,laptop,2.3943661971831,30.1761,0.3059
105,24,0,IN,qwerty,ur,1-2,on-screen,0.503355704697987,32.2518,0.0975
106,30,0,CA,qwerty,en,9-10,full,0.673400673400673,59.2466,0.3708
109,18,0,PH,qwerty,en,3-4,full,0.232378001549187,27.7771,0.0738
112,23,0,IN,qwerty,en,3-4,laptop,0.938967136150235,14.9863,0.0371
113,22,1,US,qwerty,en,9-10,laptop,0.147058823529412,63.8758,0.3232
114,39,0,US,qwerty,en,9-10,full,0.452488687782805,63.7975,0.3025
120,31,1,IN,qwerty,ta,9-10,laptop,0.183823529411765,26.6517,0.2089
124,30,1,US,qwerty,en,9-10,on-screen,0.0,65.1556,0.0533
139,15,0,US,qwerty,en,1-2,laptop,0.32546786004882,28.5194,0.0899
143,21,0,PH,qwerty,en,1-2,laptop,2.04724409448819,20.9079,0.0151
145,20,0,PH,qwerty,tl,3-4,full,0.35778175313059,31.9832,0.0854
147,28,0,IN,qwerty,hi,9-10,laptop,0.794912559618442,48.3569,0.2322
150,22,0,HK,qwerty,zh,7-8,laptop,0.159744408945687,43.2628,0.2211
155,21,0,US,qwerty,en,9-10,full,4.53834115805947,45.2438,0.0927
165,24,0,IN,qwerty,ta,5-6,full,0.840336134453782,33.9848,0.0841
168,35,1,PK,azerty,en,1-2,on-screen,4.23497267759563,39.9633,0.1805
174,10,0,MT,qwerty,en,1-2,laptop,0.237341772151899,15.7942,0.0024
177,23,1,CR,qwerty,es,9-10,laptop,0.601202404809619,45.0807,0.1282
180,23,0,US,qwerty,ur,7-8,full,1.22699386503067,40.4078,0.2859
185,27,0,DE,qwerty,de,7-8,full,0.289017341040462,89.7668,0.3663
186,35,1,UG,qwerty,lg,9-10,full,0.387296669248644,40.7085,0.2913
187,21,1,PH,qwerty,en,5-6,laptop,0.349040139616056,36.4503,0.2628
194,24,0,NP,qwerty,en,3-4,full,0.0,50.7039,0.1526
198,28,0,IN,qwerty,en,9-10,full,1.32890365448505,31.0653,0.0664
202,28,0,IN,qwerty,hi,7-8,full,0.62992125984252,33.486,0.2275
203,29,0,US,qwerty,en,5-6,on-screen,10.8396946564886,23.7007,0.064
209,29,0,US,qwerty,hi,9-10,laptop,3.59116022099448,22.8599,0.0834
211,25,0,SG,qwerty,en,5-6,laptop,0.3690036900369,90.8364,0.6011
212,21,0,US,qwerty,en,9-10,laptop,0.0,30.3449,0.1104
223,20,1,US,qwerty,zh,9-10,full,0.511073253833049,73.686,0.3142
227,19,0,NZ,qwerty,en,5-6,full,0.671704450041982,36.765,0.283
238,50,1,US,qwerty,en,9-10,laptop,1.13636363636364,53.6687,0.1722
239,12,1,US,qwerty,en,5-6,laptop,0.650406504065041,35.5203,0.0417
