volcano_id,start_date,end_date
211020,07-1913,04-1944
211020,02-1864,11-1868
211020,12-1854,05-1855
211020,12-1855,12-1861
211020,07-1824,09-1834
211020,01-1835,01-1839
211020,12-1875,04-1906
211020,09-1841,02-1850
211020,12-1870,04-1872
211040,01-1857,06-1889
211040,06-1932,06-1932
211040,05-1910,07-1931
211040,02-1934,12-2024
211040,01-1890,05-1907
211050,08-1888,03-1890
211050,09-1873,01-1879
211060,11-1868,12-1868
211060,09-1869,09-1869
211060,01-1865,06-1865
211060,01-1947,03-1947
211060,05-1890,10-1890
211060,02-1946,10-1946
211060,06-1945,10-1945
211060,05-1863,07-1863
211060,12-2001,11-2003
211060,11-2022,12-2024
211060,02-2004,02-2004
211060,07-1899,08-1899
211060,08-1864,09-1864
211060,03-1809,04-1809
211060,08-1993,10-1993
211060,12-1820,01-1833
211060,10-1959,12-1964
211060,03-1959,04-1959
211060,01-1966,06-1971
211060,11-1958,12-1958
211060,09-1971,03-1979
211060,04-1893,06-1898
211060,06-1892,12-1892
211060,08-1957,05-1958
211060,02-1957,05-1957
211060,12-1949,05-1952
211060,02-1891,12-1891
211060,04-1955,04-1956
211060,04-1888,08-1889
211060,05-1887,08-1887
211060,10-1811,05-1812
211060,01-1884,06-1886
211060,12-1878,03-1883
211060,05-1819,08-1819
211060,08-1874,08-1874
211060,06-1994,08-2001
211060,07-1979,03-1993
211060,10-1941,04-1944
211060,04-1908,09-1909
211060,11-1899,08-1907
211060,04-2010,04-2010
211060,09-2004,03-2005
211060,11-1802,11-1802
211060,07-1928,11-1928
211060,08-1912,08-1912
211060,01-1926,06-1926
211060,11-1843,12-1843
211060,11-1913,03-1917
211060,08-1911,09-1911
211060,11-1842,12-1842
211060,07-1838,02-1839
211060,08-2010,04-2013
211060,09-2013,06-2022
211060,07-1931,09-1933
211060,12-1910,02-1911
211060,06-1917,07-1917
211060,12-2005,12-2005
211060,02-1910,04-1910
211060,03-1918,12-1918
211060,07-1935,01-1941
211060,03-1919,02-1925
211060,07-2006,12-2006
211060,08-1852,05-1853
211060,03-2007,07-2009
211060,10-1832,11-1832
211060,01-1934,03-1934
211060,01-1803,01-1819
211070,10-1846,10-1846
